,fn,target
1189,002381.jpg,"(array([377, 194, 470, 283]), 16)"
1190,002383.jpg,"(array([ 37,  94, 264, 337]), 6)"
1191,002386.jpg,"(array([ 81,  25, 264, 499]), 19)"
1192,002388.jpg,"(array([  2, 133, 325, 499]), 8)"
1193,002389.jpg,"(array([184,  28, 373, 435]), 11)"
1194,002390.jpg,"(array([ 27, 156, 272, 392]), 4)"
1195,002394.jpg,"(array([213, 149, 368, 280]), 20)"
1196,002395.jpg,"(array([  0,  74, 283, 483]), 4)"
1197,002396.jpg,"(array([ 85, 140, 361, 462]), 12)"
1198,002397.jpg,"(array([198, 138, 340, 201]), 15)"
1199,002398.jpg,"(array([109,  79, 433, 249]), 13)"
1200,002399.jpg,"(array([ 41,   0, 377, 465]), 18)"
1201,002400.jpg,"(array([ 26,   1, 498, 304]), 3)"
1202,002402.jpg,"(array([ 49,  54, 239, 463]), 7)"
1203,002406.jpg,"(array([166, 220, 237, 448]), 7)"
1204,002408.jpg,"(array([ 47,  69, 331, 492]), 12)"
1205,002409.jpg,"(array([ 73,  88, 365, 444]), 13)"
1206,002412.jpg,"(array([198, 209, 239, 246]), 3)"
1207,002414.jpg,"(array([221, 336, 318, 499]), 18)"
1208,002416.jpg,"(array([149, 167, 315, 487]), 7)"
1209,002418.jpg,"(array([148,   0, 208, 259]), 19)"
1210,002421.jpg,"(array([ 82, 127, 300, 425]), 13)"
1211,002422.jpg,"(array([  7,  33, 499, 282]), 16)"
1212,002424.jpg,"(array([221, 400, 284, 489]), 7)"
1213,002426.jpg,"(array([ 33,  94, 284, 492]), 15)"
1214,002428.jpg,"(array([ 78,  96, 373, 269]), 15)"
1215,002429.jpg,"(array([ 36,   0, 356, 276]), 15)"
1216,002430.jpg,"(array([ 27,  78, 374, 360]), 8)"
1217,002431.jpg,"(array([149, 178, 234, 316]), 3)"
1218,002432.jpg,"(array([234, 101, 343, 255]), 3)"
1219,002434.jpg,"(array([ 66, 115, 332, 335]), 15)"
1220,002438.jpg,"(array([  1, 112, 499, 374]), 15)"
1221,002440.jpg,"(array([ 53,  48, 499, 281]), 8)"
1222,002446.jpg,"(array([152,  14, 233, 148]), 7)"
1223,002447.jpg,"(array([ 58, 109, 263, 499]), 12)"
1224,002449.jpg,"(array([266, 307, 373, 499]), 11)"
1225,002451.jpg,"(array([253,  28, 374, 178]), 16)"
1226,002453.jpg,"(array([ 21,  16, 206, 251]), 8)"
1227,002455.jpg,"(array([167,   5, 274, 442]), 18)"
1228,002457.jpg,"(array([159, 265, 277, 499]), 19)"
1229,002463.jpg,"(array([ 27,   2, 463, 201]), 15)"
1230,002464.jpg,"(array([109, 291, 198, 365]), 12)"
1231,002467.jpg,"(array([143,  32, 257, 454]), 1)"
1232,002469.jpg,"(array([114, 205, 374, 434]), 15)"
1233,002473.jpg,"(array([ 16,   3, 328, 493]), 2)"
1234,002474.jpg,"(array([ 88,  84, 270, 211]), 4)"
1235,002475.jpg,"(array([145, 311, 315, 404]), 15)"
1236,002482.jpg,"(array([361,  59, 455, 139]), 16)"
1237,002484.jpg,"(array([252, 293, 291, 374]), 7)"
1238,002485.jpg,"(array([ 29,   8, 373, 239]), 12)"
1239,002486.jpg,"(array([152, 109, 214, 215]), 3)"
1240,002487.jpg,"(array([ 44, 218, 363, 442]), 19)"
1241,002488.jpg,"(array([225,  10, 499, 374]), 14)"
1242,002489.jpg,"(array([  5,   2, 280, 499]), 18)"
1243,002495.jpg,"(array([ 27,   0, 354, 460]), 14)"
1244,002498.jpg,"(array([ 86,   0, 374, 194]), 15)"
1245,002499.jpg,"(array([ 60,   6, 332, 499]), 11)"
1246,002503.jpg,"(array([ 53, 175, 448, 286]), 15)"
1247,002506.jpg,"(array([ 93,  15, 475, 184]), 9)"
1248,002507.jpg,"(array([  0,   1, 332, 478]), 14)"
1249,002509.jpg,"(array([  2,   0, 498, 326]), 15)"
1250,002510.jpg,"(array([120, 173, 328, 487]), 18)"
1251,002511.jpg,"(array([119,  94, 455, 384]), 13)"
1252,002515.jpg,"(array([105,  32, 189,  63]), 15)"
1253,002516.jpg,"(array([ 83,  27, 374, 311]), 15)"
1254,002517.jpg,"(array([ 74,  79, 314, 429]), 7)"
1255,002521.jpg,"(array([ 58,  10, 254, 495]), 19)"
1256,002522.jpg,"(array([ 11,   0, 285, 494]), 7)"
1257,002526.jpg,"(array([103,  84, 235, 387]), 7)"
1258,002527.jpg,"(array([ 39,   0, 499, 372]), 16)"
1259,002528.jpg,"(array([ 45, 272, 307, 442]), 15)"
1260,002530.jpg,"(array([103, 108, 287, 390]), 6)"
1261,002531.jpg,"(array([ 84,  11, 352, 489]), 7)"
1262,002532.jpg,"(array([110, 184, 230, 499]), 19)"
1263,002535.jpg,"(array([  6,   1, 374, 499]), 18)"
1264,002536.jpg,"(array([135,   2, 329, 488]), 11)"
1265,002538.jpg,"(array([  0, 103, 304, 281]), 15)"
1266,002541.jpg,"(array([  1,   1, 336, 499]), 18)"
1267,002543.jpg,"(array([230, 255, 332, 499]), 7)"
1268,002548.jpg,"(array([ 66,  30, 231, 246]), 7)"
1269,002550.jpg,"(array([ 49,  31, 499, 332]), 15)"
1270,002551.jpg,"(array([ 73, 249, 332, 477]), 15)"
1271,002552.jpg,"(array([318,   4, 499, 329]), 9)"
1272,002553.jpg,"(array([ 27, 113, 376, 456]), 13)"
1273,002556.jpg,"(array([  0,   6, 307, 499]), 7)"
1274,002557.jpg,"(array([  2, 117, 113, 211]), 16)"
1275,002560.jpg,"(array([  0,   7, 393, 155]), 5)"
1276,002562.jpg,"(array([ 75,  28, 307, 499]), 7)"
1277,002568.jpg,"(array([ 36,  85, 331, 393]), 14)"
1278,002570.jpg,"(array([  1,   1, 499, 374]), 15)"
1279,002573.jpg,"(array([147, 115, 275, 269]), 13)"
1280,002574.jpg,"(array([ 49,   0, 332, 498]), 18)"
1281,002575.jpg,"(array([127, 275, 326, 419]), 15)"
1282,002576.jpg,"(array([109, 153, 314, 441]), 10)"
1283,002577.jpg,"(array([ 53,  27, 310, 477]), 7)"
1284,002580.jpg,"(array([214,  53, 329, 323]), 4)"
1285,002581.jpg,"(array([183, 452, 313, 499]), 9)"
1286,002582.jpg,"(array([ 61,  77, 408, 321]), 19)"
1287,002583.jpg,"(array([  0,   1, 253, 499]), 1)"
1288,002587.jpg,"(array([ 87, 171, 358, 372]), 12)"
1289,002588.jpg,"(array([ 50, 205, 374, 475]), 15)"
1290,002591.jpg,"(array([ 49, 265, 355, 470]), 15)"
1291,002592.jpg,"(array([  3,  42, 332, 426]), 14)"
1292,002596.jpg,"(array([211,  46, 437, 299]), 13)"
1293,002597.jpg,"(array([ 20,  50, 247, 387]), 12)"
1294,002601.jpg,"(array([ 81,   0, 272, 127]), 20)"
1295,002602.jpg,"(array([ 53, 176, 292, 400]), 14)"
1296,002604.jpg,"(array([127, 234, 316, 491]), 9)"
1297,002607.jpg,"(array([111, 125, 192, 347]), 7)"
1298,002608.jpg,"(array([179, 272, 324, 434]), 20)"
1299,002610.jpg,"(array([240,   0, 343, 212]), 7)"
1300,002612.jpg,"(array([  9,   0, 373, 287]), 14)"
1301,002614.jpg,"(array([219, 149, 332, 475]), 11)"
1302,002616.jpg,"(array([ 15,  17, 248, 380]), 8)"
1303,002617.jpg,"(array([133,  45, 231, 124]), 9)"
1304,002619.jpg,"(array([ 14,  25, 475, 344]), 1)"
1305,002620.jpg,"(array([ 27, 155, 499, 332]), 15)"
1306,002622.jpg,"(array([293, 262, 329, 310]), 7)"
1307,002623.jpg,"(array([  0,   0, 374, 454]), 10)"
1308,002624.jpg,"(array([141, 108, 374, 280]), 15)"
1309,002626.jpg,"(array([248, 258, 499, 373]), 15)"
1310,002628.jpg,"(array([ 56, 234, 305, 350]), 4)"
1311,002629.jpg,"(array([167, 249, 196, 338]), 1)"
1312,002630.jpg,"(array([ 40,  73, 334, 265]), 3)"
1313,002631.jpg,"(array([132,  10, 428, 206]), 15)"
1314,002638.jpg,"(array([173, 211, 374, 345]), 9)"
1315,002639.jpg,"(array([140, 239, 300, 306]), 15)"
1316,002640.jpg,"(array([  0,  60, 256, 499]), 2)"
1317,002642.jpg,"(array([131,  57, 407, 207]), 8)"
1318,002644.jpg,"(array([196, 147, 345, 266]), 9)"
1319,002650.jpg,"(array([133,   0, 362, 158]), 18)"
1320,002651.jpg,"(array([ 56, 255, 374, 499]), 15)"
1321,002652.jpg,"(array([111, 148, 336, 395]), 12)"
1322,002654.jpg,"(array([247, 120, 373, 400]), 18)"
1323,002655.jpg,"(array([ 83,  81, 302, 422]), 13)"
1324,002656.jpg,"(array([ 92,  94, 493, 207]), 15)"
1325,002660.jpg,"(array([161, 232, 374, 499]), 15)"
1326,002661.jpg,"(array([129,   0, 232, 480]), 1)"
1327,002663.jpg,"(array([ 37,  11, 313, 345]), 12)"
1328,002665.jpg,"(array([106, 244, 208, 499]), 1)"
1329,002671.jpg,"(array([ 53,   0, 374, 499]), 15)"
1330,002672.jpg,"(array([ 71,  51, 393, 418]), 3)"
1331,002673.jpg,"(array([120,   1, 374, 499]), 18)"
1332,002674.jpg,"(array([324, 238, 374, 385]), 11)"
1333,002676.jpg,"(array([251, 203, 307, 255]), 10)"
1334,002679.jpg,"(array([ 23,  78, 374, 439]), 6)"
1335,002681.jpg,"(array([180,  10, 451, 324]), 7)"
1336,002685.jpg,"(array([170,  81, 374, 307]), 3)"
1337,002686.jpg,"(array([183, 124, 364, 356]), 14)"
1338,002687.jpg,"(array([ 78,  43, 356, 406]), 15)"
1339,002688.jpg,"(array([ 86,   0, 292, 466]), 19)"
1340,002692.jpg,"(array([163, 273, 379, 361]), 13)"
1341,002694.jpg,"(array([  1,  81, 374, 401]), 15)"
1342,002698.jpg,"(array([ 47,  46, 291, 431]), 2)"
1343,002700.jpg,"(array([ 62, 256, 372, 411]), 15)"
1344,002701.jpg,"(array([266, 132, 322, 304]), 7)"
1345,002703.jpg,"(array([175, 101, 233, 187]), 1)"
1346,002705.jpg,"(array([ 99, 184, 352, 432]), 15)"
1347,002707.jpg,"(array([102,  92, 240, 498]), 1)"
1348,002708.jpg,"(array([123,  70, 332, 311]), 12)"
1349,002711.jpg,"(array([ 53, 361, 318, 473]), 15)"
1350,002712.jpg,"(array([ 71,  93, 326, 255]), 15)"
1351,002716.jpg,"(array([ 66,  73, 185, 375]), 6)"
1352,002719.jpg,"(array([ 99,  52, 237, 467]), 4)"
1353,002720.jpg,"(array([ 33,   0, 345, 205]), 12)"
1354,002724.jpg,"(array([212,  42, 374, 386]), 11)"
1355,002725.jpg,"(array([  3, 100, 362, 499]), 12)"
1356,002726.jpg,"(array([134, 327, 374, 434]), 15)"
1357,002728.jpg,"(array([  0,   0, 333, 222]), 15)"
1358,002729.jpg,"(array([ 31,  28, 332, 479]), 7)"
1359,002731.jpg,"(array([187, 276, 294, 383]), 2)"
1360,002733.jpg,"(array([ 49,  42, 266, 477]), 7)"
1361,002736.jpg,"(array([ 67,  14, 469, 374]), 8)"
1362,002739.jpg,"(array([155, 151, 321, 228]), 15)"
1363,002740.jpg,"(array([  1, 134, 204, 423]), 7)"
1364,002742.jpg,"(array([ 44, 117, 288, 225]), 15)"
1365,002743.jpg,"(array([  7, 159, 228, 443]), 16)"
1366,002746.jpg,"(array([ 90,  13, 173, 357]), 7)"
1367,002748.jpg,"(array([ 86, 389, 292, 499]), 6)"
1368,002750.jpg,"(array([ 93, 216, 374, 316]), 15)"
1369,002752.jpg,"(array([181, 191, 269, 340]), 18)"
1370,002753.jpg,"(array([218,  99, 364, 229]), 9)"
1371,002754.jpg,"(array([ 48,  46, 218, 453]), 1)"
1372,002756.jpg,"(array([  0,   0, 499, 230]), 19)"
1373,002758.jpg,"(array([196, 368, 374, 499]), 7)"
1374,002761.jpg,"(array([ 79, 165, 331, 375]), 15)"
1375,002764.jpg,"(array([109,  42, 354, 216]), 4)"
1376,002768.jpg,"(array([ 71, 304, 298, 395]), 15)"
1377,002769.jpg,"(array([ 44,   5, 275, 494]), 1)"
1378,002770.jpg,"(array([196,  72, 258, 166]), 10)"
1379,002771.jpg,"(array([  6,  62, 241, 264]), 19)"
1380,002773.jpg,"(array([ 84, 217, 374, 455]), 15)"
1381,002777.jpg,"(array([215, 320, 374, 499]), 9)"
1382,002780.jpg,"(array([ 94, 253, 279, 475]), 13)"
1383,002781.jpg,"(array([126, 343, 359, 449]), 15)"
1384,002787.jpg,"(array([  9,   1, 374, 499]), 9)"
1385,002788.jpg,"(array([ 69, 318, 333, 499]), 15)"
1386,002789.jpg,"(array([129,  49, 218, 173]), 10)"
1387,002790.jpg,"(array([ 85, 106, 499, 300]), 13)"
1388,002792.jpg,"(array([ 46,   1, 373, 224]), 15)"
1389,002793.jpg,"(array([ 93, 330, 172, 469]), 14)"
1390,002797.jpg,"(array([169, 382, 242, 419]), 15)"
1391,002799.jpg,"(array([132,   5, 375, 499]), 11)"
1392,002802.jpg,"(array([130,  56, 336, 373]), 17)"
1393,002805.jpg,"(array([  8,  41, 397, 434]), 12)"
1394,002806.jpg,"(array([108, 201, 278, 463]), 14)"
1395,002808.jpg,"(array([ 66,  69, 498, 293]), 14)"
1396,002809.jpg,"(array([370,   0, 499, 250]), 11)"
1397,002811.jpg,"(array([ 73, 120, 454, 313]), 4)"
1398,002813.jpg,"(array([212, 195, 372, 391]), 9)"
1399,002814.jpg,"(array([201,  37, 380, 320]), 7)"
1400,002818.jpg,"(array([222, 312, 282, 375]), 10)"
1401,002819.jpg,"(array([ 67,  77, 275, 409]), 13)"
1402,002821.jpg,"(array([152, 213, 303, 428]), 4)"
1403,002822.jpg,"(array([102, 188, 124, 224]), 1)"
1404,002823.jpg,"(array([226,  92, 374, 447]), 14)"
1405,002824.jpg,"(array([ 12,   0, 430, 499]), 15)"
1406,002825.jpg,"(array([ 82,   1, 331, 375]), 3)"
1407,002828.jpg,"(array([ 25,   9, 264, 375]), 13)"
1408,002829.jpg,"(array([ 52,  35, 308, 442]), 7)"
1409,002830.jpg,"(array([108,  10, 296, 316]), 14)"
1410,002831.jpg,"(array([ 63,  56, 432, 300]), 12)"
1411,002832.jpg,"(array([ 49, 303, 225, 499]), 19)"
1412,002837.jpg,"(array([118, 169, 306, 350]), 13)"
1413,002839.jpg,"(array([  0,  42, 332, 442]), 2)"
1414,002840.jpg,"(array([108,   6, 283, 420]), 7)"
1415,002843.jpg,"(array([102,   1, 373, 499]), 1)"
1416,002846.jpg,"(array([ 12, 127, 499, 284]), 15)"
1417,002849.jpg,"(array([ 57,  60, 268, 323]), 12)"
1418,002850.jpg,"(array([225, 127, 373, 308]), 9)"
1419,002851.jpg,"(array([ 74,  96, 250, 419]), 1)"
1420,002852.jpg,"(array([201,  21, 360, 386]), 12)"
1421,002853.jpg,"(array([  1,  62, 312, 499]), 12)"
1422,002856.jpg,"(array([ 52,  18, 332, 468]), 11)"
1423,002857.jpg,"(array([ 46,   0, 499, 373]), 15)"
1424,002860.jpg,"(array([133, 134, 284, 340]), 2)"
1425,002861.jpg,"(array([ 36,   3, 499, 332]), 3)"
1426,002862.jpg,"(array([200,  97, 324, 268]), 11)"
1427,002863.jpg,"(array([  1, 125, 373, 364]), 15)"
1428,002865.jpg,"(array([  0,  45, 372, 393]), 6)"
1429,002871.jpg,"(array([235,   0, 281,  74]), 7)"
1430,002872.jpg,"(array([116, 284, 374, 499]), 15)"
1431,002874.jpg,"(array([ 78,   2, 374, 499]), 18)"
1432,002876.jpg,"(array([ 27,  61, 350, 395]), 12)"
1433,002877.jpg,"(array([ 25,   2, 499, 314]), 15)"
1434,002878.jpg,"(array([ 17, 134, 374, 499]), 15)"
1435,002882.jpg,"(array([277, 387, 299, 417]), 17)"
1436,002883.jpg,"(array([110,  84, 499, 331]), 15)"
1437,002885.jpg,"(array([ 62, 170, 255, 499]), 18)"
1438,002887.jpg,"(array([243, 134, 332, 335]), 18)"
1439,002888.jpg,"(array([304,  67, 374, 499]), 11)"
1440,002890.jpg,"(array([ 79,   7, 278, 432]), 19)"
1441,002892.jpg,"(array([187, 161, 255, 245]), 3)"
1442,002894.jpg,"(array([106,   0, 314, 494]), 1)"
1443,002895.jpg,"(array([191, 414, 337, 446]), 15)"
1444,002897.jpg,"(array([216, 375, 256, 439]), 6)"
1445,002898.jpg,"(array([ 70,   7, 336, 499]), 19)"
1446,002900.jpg,"(array([121, 103, 247, 382]), 7)"
1447,002902.jpg,"(array([ 84, 162, 223, 299]), 20)"
1448,002903.jpg,"(array([ 18,  15, 375, 479]), 10)"
1449,002904.jpg,"(array([ 61,   0, 339, 235]), 15)"
1450,002905.jpg,"(array([ 18,   0, 499, 279]), 15)"
1451,002907.jpg,"(array([235,   2, 374, 111]), 9)"
1452,002908.jpg,"(array([101, 198, 230, 311]), 1)"
1453,002909.jpg,"(array([ 84,  87, 301, 225]), 15)"
1454,002911.jpg,"(array([ 64, 113, 332, 392]), 15)"
1455,002918.jpg,"(array([ 55,  39, 330, 323]), 15)"
1456,002920.jpg,"(array([122,   7, 243, 241]), 6)"
1457,002921.jpg,"(array([161,  93, 446, 232]), 13)"
1458,002922.jpg,"(array([364, 273, 442, 318]), 3)"
1459,002923.jpg,"(array([ 29,   2, 332, 460]), 12)"
1460,002925.jpg,"(array([111,  61, 370, 168]), 15)"
1461,002926.jpg,"(array([116, 107, 233, 285]), 8)"
1462,002927.jpg,"(array([ 30,  16, 336, 465]), 7)"
1463,002928.jpg,"(array([ 54,  92, 291, 372]), 9)"
1464,002929.jpg,"(array([151, 192, 382, 373]), 19)"
1465,002930.jpg,"(array([175, 320, 309, 416]), 9)"
1466,002936.jpg,"(array([ 20,   1, 324, 446]), 8)"
1467,002945.jpg,"(array([ 60, 249, 368, 499]), 15)"
1468,002948.jpg,"(array([  1,   1, 294, 290]), 4)"
1469,002949.jpg,"(array([ 35,   0, 201, 345]), 1)"
1470,002950.jpg,"(array([  0,  85, 499, 332]), 15)"
1471,002951.jpg,"(array([119, 223, 255, 355]), 20)"
1472,002955.jpg,"(array([  0, 127, 261, 499]), 6)"
1473,002959.jpg,"(array([294, 117, 399, 297]), 8)"
1474,002961.jpg,"(array([  6,  14, 308, 499]), 7)"
1475,002964.jpg,"(array([ 26,  32, 410, 209]), 15)"
1476,002968.jpg,"(array([131, 180, 276, 340]), 3)"
1477,002970.jpg,"(array([ 70,   1, 373, 443]), 8)"
1478,002971.jpg,"(array([106,   0, 332, 499]), 1)"
1479,002972.jpg,"(array([ 10,  10, 499, 332]), 15)"
1480,002973.jpg,"(array([ 58,  35, 418, 306]), 12)"
1481,002974.jpg,"(array([125, 155, 410, 363]), 15)"
1482,002979.jpg,"(array([128, 112, 206, 170]), 19)"
1483,002980.jpg,"(array([  2,  38, 492, 481]), 3)"
1484,002981.jpg,"(array([ 66, 216, 289, 396]), 15)"
1485,002982.jpg,"(array([ 20,  13, 499, 298]), 15)"
1486,002983.jpg,"(array([109,   0, 206, 428]), 4)"
1487,002985.jpg,"(array([ 14, 193, 272, 474]), 20)"
1488,002991.jpg,"(array([ 90,  71, 499, 308]), 10)"
1489,002993.jpg,"(array([220, 205, 302, 338]), 7)"
1490,002996.jpg,"(array([  8, 347, 137, 425]), 3)"
1491,002997.jpg,"(array([  7, 262, 271, 499]), 20)"
1492,002998.jpg,"(array([ 78, 263, 180, 499]), 19)"
1493,002999.jpg,"(array([117, 287, 225, 460]), 14)"
1494,003001.jpg,"(array([ 32,  62, 499, 342]), 6)"
1495,003006.jpg,"(array([116, 261, 233, 432]), 6)"
1496,003010.jpg,"(array([ 34,  51, 197, 112]), 5)"
1497,003012.jpg,"(array([123, 110, 374, 294]), 15)"
1498,003014.jpg,"(array([105, 294, 135, 325]), 16)"
1499,003016.jpg,"(array([ 83,  66, 313, 476]), 6)"
1500,003018.jpg,"(array([ 57, 109, 388, 299]), 15)"
1501,003019.jpg,"(array([  0,  16, 359, 499]), 8)"
1502,003020.jpg,"(array([116, 170, 374, 280]), 15)"
1503,003022.jpg,"(array([ 79, 152, 285, 415]), 13)"
1504,003025.jpg,"(array([158,  25, 339, 282]), 17)"
1505,003026.jpg,"(array([ 87, 157, 373, 340]), 15)"
1506,003029.jpg,"(array([105,   0, 371, 443]), 18)"
1507,003030.jpg,"(array([  0, 122, 348, 420]), 10)"
1508,003033.jpg,"(array([231,  20, 415, 316]), 7)"
1509,003035.jpg,"(array([192,  53, 485, 305]), 15)"
1510,003036.jpg,"(array([ 29,   4, 337, 263]), 15)"
1511,003037.jpg,"(array([ 24,   0, 328, 499]), 1)"
1512,003040.jpg,"(array([126, 163, 252, 405]), 12)"
1513,003041.jpg,"(array([179,  51, 402, 297]), 13)"
1514,003043.jpg,"(array([ 52,   4, 395, 255]), 19)"
1515,003046.jpg,"(array([ 57,   1, 330, 488]), 7)"
1516,003048.jpg,"(array([112, 176, 307, 469]), 18)"
1517,003049.jpg,"(array([172, 152, 374, 249]), 15)"
1518,003050.jpg,"(array([165, 129, 232, 256]), 17)"
1519,003052.jpg,"(array([ 46,   1, 332, 115]), 15)"
1520,003055.jpg,"(array([128, 170, 189, 346]), 7)"
1521,003059.jpg,"(array([128, 216, 209, 274]), 19)"
1522,003060.jpg,"(array([ 35,  58, 321, 434]), 16)"
1523,003062.jpg,"(array([ 35, 172, 374, 489]), 16)"
1524,003067.jpg,"(array([ 61, 126, 270, 203]), 5)"
1525,003068.jpg,"(array([ 97,  74, 325, 421]), 10)"
1526,003069.jpg,"(array([  4,  96, 331, 499]), 17)"
1527,003070.jpg,"(array([171, 113, 344, 371]), 7)"
1528,003071.jpg,"(array([  9, 178, 468, 294]), 5)"
1529,003073.jpg,"(array([  0,   0, 234, 226]), 4)"
1530,003075.jpg,"(array([ 47, 144, 499, 327]), 15)"
1531,003076.jpg,"(array([ 45, 245, 150, 278]), 5)"
1532,003079.jpg,"(array([106, 308, 255, 473]), 15)"
1533,003080.jpg,"(array([ 70,   4, 330, 376]), 8)"
1534,003081.jpg,"(array([ 59,   4, 374, 315]), 15)"
1535,003084.jpg,"(array([153, 187, 249, 333]), 13)"
1536,003087.jpg,"(array([ 80, 188, 353, 377]), 17)"
1537,003091.jpg,"(array([  1,  42, 457, 332]), 15)"
1538,003095.jpg,"(array([ 54, 121, 499, 373]), 12)"
1539,003096.jpg,"(array([ 21,   0, 223, 299]), 18)"
1540,003097.jpg,"(array([ 51,  23, 245, 251]), 19)"
1541,003099.jpg,"(array([  1,   2, 231, 303]), 18)"
1542,003101.jpg,"(array([  1,   0, 294, 210]), 6)"
1543,003104.jpg,"(array([ 70,  63, 367, 160]), 15)"
1544,003109.jpg,"(array([153, 202, 255, 357]), 7)"
1545,003111.jpg,"(array([ 49, 281, 261, 400]), 4)"
1546,003113.jpg,"(array([  3, 287, 212, 496]), 16)"
1547,003114.jpg,"(array([ 27, 151, 224, 362]), 12)"
1548,003115.jpg,"(array([ 98, 287, 367, 459]), 15)"
1549,003119.jpg,"(array([  2,   0, 399, 481]), 8)"
1550,003123.jpg,"(array([244,  69, 374, 454]), 11)"
1551,003125.jpg,"(array([ 29, 197, 374, 499]), 12)"
1552,003128.jpg,"(array([136, 173, 205, 287]), 7)"
1553,003130.jpg,"(array([220,  35, 429, 300]), 2)"
1554,003131.jpg,"(array([213, 339, 329, 409]), 4)"
1555,003132.jpg,"(array([ 17, 149, 329, 437]), 15)"
1556,003136.jpg,"(array([ 54, 203, 231, 400]), 20)"
1557,003139.jpg,"(array([ 69, 143, 371, 499]), 15)"
1558,003141.jpg,"(array([202,  95, 374, 403]), 11)"
1559,003143.jpg,"(array([ 71,  32, 253, 481]), 7)"
1560,003144.jpg,"(array([132,  67, 223, 453]), 1)"
1561,003148.jpg,"(array([205, 103, 365, 287]), 3)"
1562,003151.jpg,"(array([104,  79, 312, 223]), 15)"
1563,003152.jpg,"(array([ 57,   8, 329, 296]), 17)"
1564,003153.jpg,"(array([230,   0, 374, 411]), 11)"
1565,003156.jpg,"(array([ 87, 111, 264, 414]), 12)"
1566,003158.jpg,"(array([138, 155, 185, 223]), 20)"
1567,003160.jpg,"(array([127,   0, 350, 499]), 1)"
1568,003166.jpg,"(array([ 72,   1, 375, 499]), 8)"
1569,003167.jpg,"(array([  5,  78, 374, 419]), 15)"
1570,003168.jpg,"(array([ 27, 269, 204, 473]), 7)"
1571,003171.jpg,"(array([ 28,   0, 499, 348]), 12)"
1572,003172.jpg,"(array([ 20, 320, 321, 499]), 15)"
1573,003173.jpg,"(array([ 45,  23, 168, 242]), 13)"
1574,003174.jpg,"(array([ 34,   0, 296, 481]), 12)"
1575,003179.jpg,"(array([198,  16, 298, 311]), 7)"
1576,003180.jpg,"(array([ 59, 133, 367, 447]), 12)"
1577,003182.jpg,"(array([131,   0, 499, 468]), 13)"
1578,003187.jpg,"(array([ 65,  36, 288, 361]), 13)"
1579,003190.jpg,"(array([ 92, 122, 457, 281]), 17)"
1580,003191.jpg,"(array([  0,   2, 332, 350]), 15)"
1581,003192.jpg,"(array([ 35, 232, 283, 488]), 16)"
1582,003193.jpg,"(array([ 84, 144, 274, 384]), 13)"
1583,003196.jpg,"(array([ 42,   6, 375, 317]), 18)"
1584,003197.jpg,"(array([ 85,   1, 374, 403]), 15)"
1585,003198.jpg,"(array([ 43,   0, 284, 276]), 15)"
1586,003201.jpg,"(array([ 24, 136, 297, 415]), 10)"
1587,003203.jpg,"(array([ 94,   0, 234, 416]), 19)"
1588,003206.jpg,"(array([138, 143, 274, 229]), 9)"
1589,003208.jpg,"(array([162,  32, 331, 464]), 18)"
1590,003209.jpg,"(array([113,  47, 220, 426]), 1)"
1591,003212.jpg,"(array([110,  25, 307, 477]), 18)"
1592,003215.jpg,"(array([231, 104, 286, 177]), 10)"
1593,003217.jpg,"(array([ 89,  67, 274, 491]), 7)"
1594,003220.jpg,"(array([ 95,   0, 221, 362]), 19)"
1595,003221.jpg,"(array([240, 142, 339, 384]), 18)"
1596,003222.jpg,"(array([ 64,  52, 260, 377]), 13)"
1597,003224.jpg,"(array([ 48,   3, 374, 499]), 15)"
1598,003225.jpg,"(array([217, 199, 334, 340]), 15)"
1599,003226.jpg,"(array([ 42,  70, 484, 285]), 15)"
1600,003227.jpg,"(array([ 13,  56, 374, 499]), 8)"
1601,003230.jpg,"(array([134, 164, 232, 390]), 1)"
1602,003232.jpg,"(array([ 46,  23, 181, 255]), 13)"
1603,003234.jpg,"(array([ 71, 329, 372, 498]), 7)"
1604,003235.jpg,"(array([113, 110, 479, 246]), 13)"
1605,003237.jpg,"(array([154, 108, 460, 253]), 13)"
1606,003238.jpg,"(array([ 76,  58, 396, 407]), 8)"
1607,003241.jpg,"(array([118, 138, 324, 499]), 17)"
1608,003245.jpg,"(array([ 79,  88, 296, 151]), 15)"
1609,003246.jpg,"(array([100,  20, 374, 499]), 12)"
1610,003248.jpg,"(array([153, 187, 303, 328]), 20)"
1611,003249.jpg,"(array([  1,  12, 374, 173]), 5)"
1612,003251.jpg,"(array([158, 119, 339, 391]), 11)"
1613,003252.jpg,"(array([ 38,   0, 374, 482]), 18)"
1614,003257.jpg,"(array([ 13,  21, 221, 475]), 7)"
1615,003263.jpg,"(array([266,   0, 498, 154]), 15)"
1616,003264.jpg,"(array([  1,   1, 334, 499]), 18)"
1617,003265.jpg,"(array([246, 157, 374, 330]), 7)"
1618,003266.jpg,"(array([ 94,  63, 499, 398]), 12)"
1619,003267.jpg,"(array([ 68,   1, 332, 499]), 3)"
1620,003268.jpg,"(array([118,   0, 267, 495]), 1)"
1621,003275.jpg,"(array([214,  94, 290, 214]), 2)"
1622,003276.jpg,"(array([ 42,  20, 358, 484]), 7)"
1623,003277.jpg,"(array([103,   0, 374, 347]), 18)"
1624,003278.jpg,"(array([  6, 256, 336, 499]), 15)"
